,city_ID,City,Country,lat,lon,temp,wind,cloudiness,humidity
0,3495137,Pedernales,DO,18.04,-71.74,20.5,0.71,51,82
1,2165087,Gold Coast,AU,-28.0,153.43,25.47,8.7,75,53
2,3874787,Punta Arenas,CL,-53.15,-70.92,8.95,10.3,71,66
3,1006984,East London,ZA,-33.02,27.91,18.56,9.0,22,78
4,3418910,Upernavik,GL,72.79,-56.15,-27.96,4.08,0,50
5,2032614,Baruun-Urt,MN,46.68,113.28,0.02,5.94,0,77
6,1528998,Yumen,CN,40.28,97.2,9.03,9.66,0,12
7,737021,Zonguldak,TR,41.25,31.83,-5.75,0.29,77,96
8,2112309,Katsuura,JP,35.13,140.3,9.09,2.1,75,45
9,2206939,Bluff,NZ,-46.6,168.33,11.11,1.79,51,76
10,1275812,Bhuj,IN,23.27,69.67,23.59,3.99,17,50
11,6089245,Norman Wells,CA,65.28,-126.83,-12.0,1.0,90,85
12,2075265,Busselton,AU,-33.65,115.33,20.9,3.13,30,75
13,5106841,Albany,US,42.6,-73.97,2.16,7.2,75,55
14,3369157,Cape Town,ZA,-33.93,18.42,17.04,0.5,31,77
15,3833367,Ushuaia,AR,-54.8,-68.3,8.0,14.9,40,61
16,2137773,Vao,NC,-22.67,167.48,25.89,6.63,52,73
17,3919085,Coroico,BO,-16.19,-67.73,6.0,5.7,75,87
18,6201424,Mataura,NZ,-46.19,168.86,11.11,1.79,43,76
19,3652764,Puerto Ayora,EC,-0.74,-90.35,26.11,2.24,76,81
20,1015776,Bredasdorp,ZA,-34.53,20.04,16.23,3.6,28,82
21,2122783,Katangli,RU,51.71,143.23,-3.33,3.65,93,75
22,2121385,Severo-Kuril'sk,RU,50.68,156.12,-5.5,2.69,99,80
23,1490256,Talnakh,RU,69.49,88.4,-23.0,4.0,95,76
24,3430863,Mar del Plata,AR,-38.0,-57.56,15.9,2.1,0,82
25,3372964,Lagoa,PT,39.05,-27.98,16.62,3.86,0,80
26,1568574,Qui Nhon,VN,13.77,109.23,27.11,2.11,84,69
27,3372783,Ponta Delgada,PT,37.73,-25.67,13.0,0.5,20,87
28,370737,Malakal,SS,9.53,31.66,24.28,1.88,1,21
29,2092164,Lorengau,PG,-2.02,147.27,26.12,7.33,100,87
30,5563839,Fortuna,US,40.6,-124.16,8.75,1.04,75,75
31,1153035,Kathu,TH,7.92,98.33,30.0,5.7,20,62
32,2618795,Klaksvík,FO,62.23,-6.59,5.0,7.2,76,64
33,964420,Port Elizabeth,ZA,-33.92,25.57,18.0,9.8,0,77
34,3883457,Lebu,CL,-37.62,-73.65,13.87,3.25,7,80
35,292968,Abu Dhabi,AE,24.47,54.37,21.51,1.0,0,73
36,2155415,New Norfolk,AU,-42.78,147.06,21.26,5.1,67,43
37,2126123,Chokurdakh,RU,70.63,147.92,-23.3,0.48,0,88
